Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.5852252092776662,0.37152777777777757,0.7510288065843622,0.5538302277432712
Accuracy,0.5374834055528521,0.34444444444444444,0.6979166666666666,0.5454545454545454
Balanced Accuracy,0.5443425847300849,0.4265873015873016,0.6666666666666667,0.5631469979296067
Average F1,0.6314373234560422,0.49766476388168135,0.7026194144838214,0.631578947368421
Precision for class 0,0.5486077592218079,0.31521739130434784,0.7714285714285715,0.5
Precision for class 1,0.525684255867815,0.27906976744186046,0.7571428571428571,0.5128205128205128
Recall for class 0,0.833815598290599,0.5416666666666666,1.0,0.7391304347826086
Recall for class 1,0.7930291490916501,0.4,1.0,0.9523809523809523
Sensitivity for class 0,0.833815598290599,0.5416666666666666,1.0,0.7391304347826086
Sensitivity for class 1,0.7930291490916501,0.4,1.0,0.9523809523809523
Specificity for class 0,0.2730975394975392,0.0,0.6666666666666666,0.19047619047619047
Specificity for class 1,0.29565602036852,0.0,0.75,0.17391304347826086
