sample,Tissue/Fluid, Treatment,11-Dehydrocorticosterone,17-hydroxypregnenolone,17-hydroxyprogesterone,Aldosterone,Androstenolone (DHEA),Cortexolone,Cortexone,Corticosterone_ DOC,Cortisol,Cortisone,Estradiol,Estrone,Mono-(2-ethylhexyl) phthalate,Pregnenolone,Progesterone,Testosterone
32 MZD Liver F,3,3,1.8293,1.4402,0,0.1448,4.0775,0.5593,0.0738,146.5672,0.0238,0.0018,1.7596,3.0089,0,69.3278,3.2956,0.0817
41 MZD Liver F,3,3,0,1.0333,0,0.1259,3.5577,0.448,0.0235,82.9493,0,0,0.8167,1.2613,0,57.9476,3.2256,0.0443
5 MZD Liver F,3,3,2.0178,0,0.007,2.6829,8.9405,0.9375,0.8067,325.0018,0,0,1.2709,3.4359,0,69.1712,4.1908,0.0377
12 control Brain Male,4,1,0,1.1895,0,0.9526,0.2788,0,0.58,41.8783,0,0.6151,1.6787,12.8133,0,38.3294,18.2406,1.9372
1 control Brain Male,4,1,3.4985,1.8747,0.1131,1.5655,1.2248,0.2544,0.2688,19.045,0,0.0391,2.1047,68.1655,0,17.3022,17.2228,0.2934
27 control Brain Male,4,1,0.9647,2.989,0.2599,1.8809,4.9843,4.4383,3.0042,36.575,0.6826,0.0624,4.4033,26.3184,0,26.1482,20.4346,0.8047
28 control Brain Male,4,1,7.3077,0.4791,0.2648,1.1695,2.3957,0,0.0656,17.8475,1.0419,0.0083,1.9988,3.7171,0,11.1313,12.6129,0.7104
39 control Brain Male,4,1,17.7655,0,0.1044,2.3636,0,0.9283,1.1249,34.6248,0.7328,0.0777,1.6207,26.2772,0,10.1766,14.4552,0.9864
3 control Brain Male,4,1,0.0465,2.4718,0,0.423,1.6952,0,0.0105,15.8505,0.2325,0.0348,0.289,123.8027,0,25.1818,9.9421,0.2922
40 control Brain Male,4,1,0,0,0.1686,0.819,1.9252,0,1.9342,54.1823,1.3895,0.0401,2.2483,21.6092,0,8.5155,10.1324,0.8206
8 control Brain Male,4,1,18.5489,0,0.0471,0.4675,0.3388,0.1337,0.847,81.6956,0,0.0173,0.2187,7.5833,0,9.314,10.119,1.2836
9 control Brain Male,4,1,1.1177,2.7412,0.2156,0.8539,1.0767,0,0.0547,12.5206,0.0675,0.0266,0.1132,1.4592,0,15.4339,13.1927,0.6748
10 MZD Brain Male,4,3,0.9297,0,0.0347,0.6712,1.2141,0,0.1021,18.7618,0.0246,0.0194,0.6007,5.6088,0,22.6191,9.062,0.3532
11 MZD Brain Male,4,3,0.4111,1.9348,0.0173,0.6429,0.993,0,0.2344,12.0936,0.3451,0.0282,0.2658,10.5855,0,18.1653,8.8653,0.6121
14 MZD Brain Male,4,3,0,1.8559,0.2237,0.654,1.2798,0,0.0252,20.5394,0.3251,0.0216,0.3531,0.954,0,3.91,6.7282,0.6399
19 MZD Brain Male,4,3,0,0,0.0574,1.0933,1.6429,0,0.0218,13.9393,0.1892,0.03,1.5409,0.4139,0,23.0166,6.3343,0.4944
32 MZD Brain Male,4,3,0.722,1.7675,0.1267,2.358,1.7871,0.6396,0,25.1962,0.0974,0.0706,4.9993,179.382,0,16.818,10.0695,1.3204
41 MZD Brain Male,4,3,0,4.6866,0.2737,1.0788,0,0,1.1653,52.3447,0.2193,0.0437,0.9787,3.3377,0,3.4881,14.0027,0.9527
5 MZD Brain Male,4,3,0,0.8899,0.1728,0.1802,1.9397,0,0.0479,53.4594,0.1139,0.0439,1.2607,4.189,0,17.1742,14.0197,0.0644
12 control Liver M,5,1,3.409,0,0.0998,0.664,7.4267,8.8542,0.4509,653.5112,0,0.3622,1.1377,10.6507,0,258.2781,16.6592,0.4869
1 control Liver M,5,1,1.8496,0,0,1.0277,3.9361,4.5635,1.0993,217.589,0.6009,0.0936,1.1816,8.8205,0,145.9554,5.34,0.1071
27 control Liver M,5,1,5.4562,0,0.0714,0.1005,2.1075,1.4544,0.0388,104.4673,0.0288,0.0701,0.5207,3.1305,0,112.2313,3.8025,0.1764
28 control Liver M,5,1,2.9781,1.937,0.0204,0,2.2627,0.2612,0.0597,92.5438,0.0256,0,0.4789,2.4179,0,46.6972,3.0089,0.1102
39 control Liver M,5,1,3.5532,0,0.0207,2.493,1.166,0.4065,0.035,131.3276,0.3855,0.0068,0.5353,1.9898,0,95.881,4.194,0.0808
3 control Liver M,5,1,8.7737,0,0.0547,5.0012,3.7644,0,0.4909,222.5314,0.0459,0.1093,1.1238,2.7281,0,50.7956,3.9073,0.3642
40 control Liver M,5,1,1.5794,0,0.0444,1.9284,2.5741,0.3476,0.0849,136.7802,0,0,1.8703,3.7499,0,61.0175,3.3479,0.1628
8 control Liver M,5,1,46.443,5.2508,0,4.774,8.6679,5.0751,86.3795,471.6937,0.0546,0.0219,1.8663,4.3598,0,142.3786,41.2162,0.1509
9 control Liver M,5,1,4.2498,3.7901,0.1927,0,3.0579,0.8901,1.1727,116.9017,0.144,0,0.8138,1.3761,0,101.2609,4.298,0.1784
10 MZD Liver M,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 MZD Liver M,5,3,1.2967,1.8226,0.0994,4.2113,4.0403,1.1847,0.3579,136.3234,0,0.381,2.5098,4.9916,0,99.6727,3.6606,0.5304
14 MZD Liver M,5,3,0.1664,2.9652,0.167,0.7826,2.1549,0.7469,0.0705,124.7091,0.0185,0.2549,1.9918,1.7765,0,73.033,3.6462,0.0947
19 MZD Liver M,5,3,7.1815,0,0.0422,0.8139,0.8135,0.4052,0.034,133.5327,0,0.0027,13.8242,0.3134,0,107.6079,2.5725,0.1156
32 MZD Liver M,5,3,1.5764,0.2128,0.0504,1.5945,1.2176,0.1622,0.0042,51.9148,0.0033,0.0038,2.2439,0.8146,0,16.3949,1.7493,0.1004
41 MZD Liver M,5,3,4.5434,0,0.0181,0.8604,0.9955,1.0866,0.092,122.0768,0.0261,0.0595,0.9963,1.0065,0,110.5406,2.914,0.0219
5 MZD Liver M,5,3,14.3505,1.1373,0.042,3.8469,4.7699,3.5197,0.4322,327.7852,1.0672,0,10.8545,5.0993,0,64.2618,4.5019,0.292
12 control liver Dam,6,1,2.6541,3.1537,0.0443,0.9195,0.5882,0.2869,0.1371,6.6569,0,0.0188,39.8089,2.797,0,12.0754,4.6035,0.2084
1 control liver Dam,6,1,3.2696,7.6261,0.0263,0.1416,2.902,0.0288,0.0824,7.3723,0,0,0.818,0.8148,0,3.044,8.9707,0.0378
27 control liver Dam,6,1,2.1286,8.1081,0.0905,0,1.1102,0.2585,0.234,8.0822,0.4444,0,2.8476,3.1802,0,20.3983,6.7476,0.4812
28 control liver Dam,6,1,4.1406,6.6466,0.0834,0.798,0.4766,0.4061,0.2142,4.4324,0,0,2.3645,3.1959,0,11.242,6.5805,0.5402
39 control liver Dam,6,1,1.0045,9.5264,0.0132,0.8154,0.368,0.054,0.2306,4.1474,0.6061,0.1116,6.6585,1.3967,0,15.0316,5.2085,0.3004
3 control liver Dam,6,1,2.8397,19.5729,0.0237,0,2.5754,0,0.4907,5.5938,1.0052,0.1574,8.6212,1.9077,0,14.2901,4.2509,0.0794
40 control liver Dam,6,1,1.2471,9.5013,0.0279,0.7352,0.4928,0.3793,0.3202,7.5278,0,0.1893,2.3525,1.3134,0,15.828,5.7894,0.4126
8 control liver Dam,6,1,1.0363,8.9308,0.0288,0.0249,0.7455,0.132,0.3278,6.2054,0,0.0128,2.953,1.3122,0,13.448,3.814,0.0712
9 control liver Dam,6,1,1.5424,6.7693,0.0702,0.0306,0.7318,0.2186,0.0957,2.2636,0.4147,0.0471,2.056,1.2384,0,0,5.1753,0.0458
