sample,Time Point, Sample Source,Asp TIC Results,Asp EIC Results,2HG TIC Results,2HG EIC Results,Glu TIC Results,Glu EIC Results,Ratio of 2HG/Glu TIC,Ratio of 2HG/Glu EIC
CS40_WT10_48,3,2,20638.83746,911,1059.402263,252,912840.1011,102408,0.001160556,0.002460745
CS38_WT08_48,3,2,23649.2834,1221,939.9966076,202,811977.5594,88845.668,0.001157663,0.002273606
CS55_V05_48,3,2,29344.76887,1578,1131.44375,79,1048159.737,120836.1069,0.001079457,0.000653778
CS59_V09_48,3,2,26826.7331,1389.318707,1327.84375,139,801784.0505,89995.74745,0.001656111,0.001544517
CS54_V04_48,3,2,23241.50115,1234,1295.81875,101,523768.2465,56981.70133,0.002474031,0.001772499
CS35_WT05_48,3,2,24558.9413,1097,1672.782695,88,906725.4161,102053.4034,0.001844861,0.000862294
CS46_MUT06_48,3,2,18890.38544,951.2824659,714603.4415,96216.04266,296481.0148,30213.95252,2.410283984,3.184490431
CS32_WT02_48,3,2,31039.5341,1816.250938,2195.4,136,629705.2325,68351.40361,0.003486393,0.001989718
CS60_V10_48,3,2,22522.23797,1046,1634.450019,39.28245356,1078039.936,122740.3042,0.001516131,0.000320045
CS31_WT01_48,3,2,19136.39006,1005,2509.975414,416.0769231,981691.4646,110601.1028,0.002556786,0.00376196
