Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.604978354978355,0.5389254385964914,0.6724386724386724,0.5
Accuracy,0.5271317829457365,0.3875968992248062,0.6666666666666666,0.4772727272727273
Balanced Accuracy,0.5375180375180375,0.5043290043290043,0.578125,0.5
Average F1,0.6783783783783783,0.6519679990673681,0.6929410690368927,0.6663605051664754
Precision for class 0,0.5336134453781513,0.37446808510638296,0.6824034334763949,0.5227272727272727
Precision for class 1,0.5081967213114754,0.35772357723577236,0.6598360655737705,0.4772727272727273
Recall for class 0,0.9621212121212122,0.9166666666666666,0.9924242424242424,1.0
Recall for class 1,0.9841269841269841,0.9621212121212122,1.0,1.0
Sensitivity for class 0,0.9621212121212122,0.9166666666666666,0.9924242424242424,1.0
Sensitivity for class 1,0.9841269841269841,0.9621212121212122,1.0,1.0
Specificity for class 0,0.11904761904761904,0.057971014492753624,0.18627450980392157,0.0
Specificity for class 1,0.09090909090909091,0.02631578947368421,0.17307692307692307,0.0
