Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.4774873652020257,0.2984693877551019,0.6148148148148149,0.5
Accuracy,0.48079162585637114,0.30952380952380953,0.6666666666666666,0.4772727272727273
Balanced Accuracy,0.487586727855478,0.3680555555555556,0.5703703703703704,0.5
Average F1,0.6180285255993062,0.4308457711442786,0.676740897843761,0.6663605051664754
Precision for class 0,0.5113720694121249,0.29411764705882354,0.7272727272727273,0.5227272727272727
Precision for class 1,0.47890475186928444,0.2441860465116279,0.7058823529411765,0.4772727272727273
Recall for class 0,0.9108927123802126,0.5454545454545454,1.0,1.0
Recall for class 1,0.8174837833462839,0.3333333333333333,1.0,1.0
Sensitivity for class 0,0.9108927123802126,0.5454545454545454,1.0,1.0
Sensitivity for class 1,0.8174837833462839,0.3333333333333333,1.0,1.0
Specificity for class 0,0.09884958467458485,0.0,0.37037037037037035,0.0
Specificity for class 1,0.15768967236467232,0.0,0.5238095238095238,0.0
