Sig_id,num_variables,Metric,Estimate,Hold-out
0,0,Area Under the ROC Curve,0.5628269659456389,0.5
0,0,Accuracy,0.5025621085814698,0.4883720930232558
0,0,Balanced Accuracy,0.5243661918636908,0.5
0,0,Average F1,0.6620730471063478,0.6665865384615385
0,0,Precision for class 0,0.5307455755972381,0.5116279069767442
0,0,Precision for class 1,0.4888130596869209,0.4883720930232558
0,0,Recall for class 0,0.9878659235209253,1.0
0,0,Recall for class 1,0.9579298007548008,1.0
0,0,Sensitivity for class 0,0.9878659235209253,1.0
0,0,Sensitivity for class 1,0.9579298007548008,1.0
0,0,Specificity for class 0,0.037355623820623775,0.0
0,0,Specificity for class 1,0.09080258297258323,0.0
