Fold,Metric,Estimate,Lower_CI,Upper_CI,Hold-out
0,Area Under the ROC Curve,0.5,0.5,0.5
1,Area Under the ROC Curve,0.30576697892271687,0.0,1.0
2,Area Under the ROC Curve,0.32783705069664,0.0,0.9
3,Area Under the ROC Curve,0.4477576567720076,0.0,0.8333333333333334
4,Area Under the ROC Curve,0.44464841389127435,0.10000000000000009,0.7708333333333334
5,Area Under the ROC Curve,0.4144763202269813,0.12857142857142856,0.6964285714285714
6,Area Under the ROC Curve,0.46892487753868667,0.19444444444444442,0.7272727272727273
7,Area Under the ROC Curve,0.4606414415006686,0.18055555555555558,0.701388888888889
8,Area Under the ROC Curve,0.5020576344715838,0.2222222222222222,0.775
9,Area Under the ROC Curve,0.48781234720078437,0.22272727272727255,0.7416666666666667
10,Area Under the ROC Curve,0.5125168565950878,0.26111111111111107,0.75
11,Area Under the ROC Curve,0.4916110487971705,0.24545454545454537,0.7166666666666667
12,Area Under the ROC Curve,0.4997310166299703,0.26296296296296284,0.7254901960784313
13,Area Under the ROC Curve,0.48858627483754474,0.25897435897435894,0.7000000000000001
14,Area Under the ROC Curve,0.48204197269774535,0.2583333333333333,0.6676470588235294
15,Area Under the ROC Curve,0.483257793249432,0.27604166666666663,0.6688311688311688
16,Area Under the ROC Curve,0.4955962135500823,0.27469135802469147,0.6848739495798319
17,Area Under the ROC Curve,0.49183524299184406,0.2767857142857142,0.6840909090909091
18,Area Under the ROC Curve,0.5440290406834112,0.28696741854636587,0.7330316742081447
19,Area Under the ROC Curve,0.5375960176047335,0.3136363636363636,0.7234848484848484
20,Area Under the ROC Curve,0.5350212791328997,0.31121281464530914,0.7052631578947368
21,Area Under the ROC Curve,0.5156842478112712,0.3109375,0.6717171717171717
22,Area Under the ROC Curve,0.5266531002942858,0.32179487179487176,0.6858333333333333
23,Area Under the ROC Curve,0.5512203360183209,0.3490740740740741,0.7089947089947091
24,Area Under the ROC Curve,0.5507106195884833,0.3524193548387098,0.7083333333333334
25,Area Under the ROC Curve,0.5570380698548065,0.3649237472766883,0.7140468227424749
26,Area Under the ROC Curve,0.5739812338339287,0.3727678571428571,0.7295238095238096
27,Area Under the ROC Curve,0.569215544958379,0.3721428571428572,0.7303240740740741
28,Area Under the ROC Curve,0.5648118256772611,0.36696428571428563,0.7201149425287356
29,Area Under the ROC Curve,0.564559227731076,0.36954261954261947,0.718939393939394
30,Area Under the ROC Curve,0.5597505030560358,0.3781512605042018,0.7161904761904763
31,Area Under the ROC Curve,0.5570937505739308,0.3733258928571429,0.7090773809523809
32,Area Under the ROC Curve,0.5549515221395473,0.3693181818181819,0.7129402129402129
33,Area Under the ROC Curve,0.5591200615701732,0.3731428571428571,0.7111540941328176
34,Area Under the ROC Curve,0.5573104181596938,0.3746031746031746,0.6994720965309201
35,Area Under the ROC Curve,0.5576503646635674,0.37673611111111105,0.6992647058823529
36,Area Under the ROC Curve,0.5495545216475292,0.3765384615384616,0.6937830687830688
37,Area Under the ROC Curve,0.5359302233601615,0.34525171624713946,0.6946640316205535
38,Area Under the ROC Curve,0.5489377967707832,0.3670465337132004,0.7068421052631579
39,Area Under the ROC Curve,0.5628269659456389,0.3842857142857141,0.7170833333333333
