Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.6518981936767768,0.462962962962963,0.8029100529100529,0.48654244306418226
Accuracy,0.5967154539890225,0.42857142857142855,0.7435897435897436,0.4318181818181818
Balanced Accuracy,0.5996632610445113,0.4458333333333333,0.7341269841269842,0.4358178053830228
Average F1,0.665713957898066,0.565584558017109,0.7551465705341049,0.5257092198581561
Precision for class 0,0.5983317474272666,0.3620689655172414,0.8064516129032258,0.56
Precision for class 1,0.5655402619653728,0.3181818181818182,0.7954545454545454,0.4230769230769231
Recall for class 0,0.838791762404264,0.6666666666666666,0.9761904761904762,0.6086956521739131
Recall for class 1,0.7600647500647499,0.5416666666666666,0.9583333333333334,0.5238095238095238
Sensitivity for class 0,0.838791762404264,0.6666666666666666,0.9761904761904762,0.6086956521739131
Sensitivity for class 1,0.7600647500647499,0.5416666666666666,0.9583333333333334,0.5238095238095238
Specificity for class 0,0.4171303474303473,0.16666666666666666,0.6481481481481481,0.47619047619047616
Specificity for class 1,0.4392617720242717,0.09259259259259259,0.6666666666666666,0.34782608695652173
