Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.46480331262939956,0.40198757763975146,0.5293749999999999,0.5
Accuracy,0.4772727272727273,0.39090909090909093,0.5590909090909091,0.4883720930232558
Balanced Accuracy,0.468944099378882,0.405175983436853,0.530952380952381,0.5
Average F1,0.5147121535181236,0.4466650217945555,0.5697815533980582,0.6665865384615385
Precision for class 0,0.5227272727272727,0.38636363636363635,0.6590909090909091,0.5116279069767442
Precision for class 1,0.42857142857142855,0.2647058823529412,0.6065573770491803,0.4883720930232558
Recall for class 0,1.0,1.0,1.0,1.0
Recall for class 1,0.2857142857142857,0.2,0.37777777777777777,1.0
Sensitivity for class 0,1.0,1.0,1.0,1.0
Sensitivity for class 1,0.2857142857142857,0.2,0.37777777777777777,1.0
Specificity for class 0,0.0,0.0,0.0,0.0
Specificity for class 1,0.6521739130434783,0.5666666666666667,0.74,0.0
