Sig_id,num_variables,Metric,Estimate,Hold-out
0,53,Area Under the ROC Curve,0.6518981936767768,0.48654244306418226
0,53,Accuracy,0.5967154539890225,0.4318181818181818
0,53,Balanced Accuracy,0.5996632610445113,0.4358178053830228
0,53,Average F1,0.665713957898066,0.5257092198581561
0,53,Precision for class 0,0.5983317474272666,0.56
0,53,Precision for class 1,0.5655402619653728,0.4230769230769231
0,53,Recall for class 0,0.838791762404264,0.6086956521739131
0,53,Recall for class 1,0.7600647500647499,0.5238095238095238
0,53,Sensitivity for class 0,0.838791762404264,0.6086956521739131
0,53,Sensitivity for class 1,0.7600647500647499,0.5238095238095238
0,53,Specificity for class 0,0.4171303474303473,0.47619047619047616
0,53,Specificity for class 1,0.4392617720242717,0.34782608695652173
