Sig_id,num_variables,Metric,Estimate,Hold-out
0,0,Area Under the ROC Curve,0.3892442075883268,0.5
0,0,Accuracy,0.4182910353122971,0.4883720930232558
0,0,Balanced Accuracy,0.412292800810301,0.5
0,0,Average F1,0.43565911177626593,0.6665865384615385
0,0,Precision for class 0,0.47059773605422756,0.5116279069767442
0,0,Precision for class 1,0.36891347442264627,0.4883720930232558
0,0,Recall for class 0,0.7601646464646469,1.0
0,0,Recall for class 1,0.27756843212343246,1.0
0,0,Sensitivity for class 0,0.7601646464646469,1.0
0,0,Sensitivity for class 1,0.27756843212343246,1.0
0,0,Specificity for class 0,0.11665143412143417,0.0
0,0,Specificity for class 1,0.5470171694971693,0.0
