Sig_id,num_variables,Metric,Estimate,Hold-out
0,54,Area Under the ROC Curve,0.633794964201268,0.502164502164502
0,54,Accuracy,0.5546549511846421,0.4418604651162791
0,54,Balanced Accuracy,0.5664779195804194,0.44805194805194803
0,54,Average F1,0.6655293253400548,0.579664570230608
0,54,Precision for class 0,0.5844067379917185,0.5161290322580645
0,54,Precision for class 1,0.5210557244712466,0.45454545454545453
0,54,Recall for class 0,0.9148637962037951,0.7272727272727273
0,54,Recall for class 1,0.8053339649239631,0.7142857142857143
0,54,Sensitivity for class 0,0.9148637962037951,0.7272727272727273
0,54,Sensitivity for class 1,0.8053339649239631,0.7142857142857143
0,54,Specificity for class 0,0.2819102197802199,0.2857142857142857
0,54,Specificity for class 1,0.32762187423687444,0.18181818181818182
