Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.5796407353385395,0.3587301587301588,0.7481481481481481,0.5538302277432712
Accuracy,0.5351899753175102,0.34375,0.6979166666666666,0.5454545454545454
Balanced Accuracy,0.5421467784530288,0.4236111111111111,0.6626984126984128,0.5631469979296067
Average F1,0.630950612127933,0.49594034797017394,0.7018753447324876,0.631578947368421
Precision for class 0,0.5469271055919844,0.3148148148148148,0.7708333333333334,0.5
Precision for class 1,0.5239927412451797,0.27906976744186046,0.7567567567567568,0.5128205128205128
Recall for class 0,0.836166494153995,0.5370370370370371,1.0,0.7391304347826086
Recall for class 1,0.7953037522662532,0.4,1.0,0.9523809523809523
Sensitivity for class 0,0.836166494153995,0.5370370370370371,1.0,0.7391304347826086
Sensitivity for class 1,0.7953037522662532,0.4,1.0,0.9523809523809523
Specificity for class 0,0.26634410034409994,0.0,0.6666666666666666,0.19047619047619047
Specificity for class 1,0.2889898046398044,0.0,0.7424242424242424,0.17391304347826086
