Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.36507698914438325,0.18514285714285705,0.4855555555555555,0.5
Accuracy,0.39771483745356795,0.25,0.5875,0.4883720930232558
Balanced Accuracy,0.4018532933732932,0.25,0.5031746031746032,0.5
Average F1,0.4502300088433385,0.24999999999999997,0.648889666025529,0.6665865384615385
Precision for class 0,0.4422859520969432,0.1935483870967742,0.6753246753246753,0.5116279069767442
Precision for class 1,0.37879293831443095,0.13725490196078433,0.6323529411764706,0.4883720930232558
Recall for class 0,0.5866770562770562,0.2,0.95,1.0
Recall for class 1,0.503015660450659,0.16666666666666666,0.975,1.0
Sensitivity for class 0,0.5866770562770562,0.2,0.95,1.0
Sensitivity for class 1,0.503015660450659,0.16666666666666666,0.975,1.0
Specificity for class 0,0.21709809079809073,0.0,0.4888888888888889,0.0
Specificity for class 1,0.3006909262959265,0.0,0.6,0.0
