Metric,Estimate,Lower_CI,Upper_CI,Hold-out
Area Under the ROC Curve,0.43777273836031133,0.23519999999999996,0.5388888888888889,0.5
Accuracy,0.46343995990993175,0.3176470588235294,0.5857142857142857,0.4883720930232558
Balanced Accuracy,0.4554509959484961,0.31666666666666665,0.5541666666666667,0.5
Average F1,0.49460428723012745,0.3512464546947306,0.5858395989974938,0.6665865384615385
Precision for class 0,0.5146789464485682,0.2857142857142857,0.7142857142857143,0.5116279069767442
Precision for class 1,0.4145426357058788,0.16,0.6666666666666666,0.4883720930232558
Recall for class 0,0.9564629526029527,0.46,1.0,1.0
Recall for class 1,0.28207641580641607,0.16,0.42857142857142855,1.0
Sensitivity for class 0,0.9564629526029527,0.46,1.0,1.0
Sensitivity for class 1,0.28207641580641607,0.16,0.42857142857142855,1.0
Specificity for class 0,0.017139366189366182,0.0,0.23076923076923078,0.0
Specificity for class 1,0.6288255760905763,0.34285714285714286,0.7714285714285715,0.0
