Sig_id,num_variables,Metric,Estimate,Hold-out
0,3,Area Under the ROC Curve,0.5047243106262492,0.4772256728778468
0,3,Accuracy,0.4678181571696272,0.4772727272727273
0,3,Balanced Accuracy,0.4754184387371884,0.5
0,3,Average F1,0.6428975473082557,0.6266483516483516
0,3,Precision for class 0,0.5374387613787521,0.5151515151515151
0,3,Precision for class 1,0.4763544403800216,0.4772727272727273
0,3,Recall for class 0,0.9302747867872896,0.7391304347826086
0,3,Recall for class 1,0.8849048160173177,1.0
0,3,Sensitivity for class 0,0.9302747867872896,0.7391304347826086
0,3,Sensitivity for class 1,0.8849048160173177,1.0
0,3,Specificity for class 0,0.16567200438450433,0.23809523809523808
0,3,Specificity for class 1,0.06593206145706174,0.0
